file,expected,actual,correct,circles,fallen,reason
n1.jpg,不整齐,整齐,False,85,0,整齐
n2.jpg,不整齐,不整齐,True,72,0,不整齐
n3.jpg,不整齐,不整齐,True,81,1,检测到 1 个散落/异形枪头
n4.jpg,不整齐,不整齐,True,76,1,检测到 1 个散落/异形枪头
n5.jpg,不整齐,整齐,False,72,0,整齐
n6.jpg,不整齐,不整齐,True,104,0,"有 24 个枪头偏离槽中心线(偏差>12px, 占比 23.1%)"
n7.jpg,不整齐,不整齐,True,98,1,检测到 1 个散落/异形枪头
n8.jpg,不整齐,不整齐,True,110,1,检测到 1 个散落/异形枪头
n9.jpg,不整齐,不整齐,True,104,0,"有 16 个枪头偏离槽中心线(偏差>12px, 占比 15.4%)"
n10.jpg,不整齐,不整齐,True,124,1,"检测到 1 个散落/异形枪头; 有 20 个枪头偏离槽中心线(偏差>12px, 占比 16.1%)"
n11.jpg,不整齐,整齐,False,127,0,整齐
n12.jpg,不整齐,不整齐,True,108,1,检测到 1 个散落/异形枪头
n14.jpg,不整齐,不整齐,True,111,2,"检测到 2 个散落/异形枪头; 有 17 个枪头偏离槽中心线(偏差>12px, 占比 15.3%)"
n15.jpg,不整齐,整齐,False,85,0,整齐
n16.jpg,不整齐,不整齐,True,109,1,检测到 1 个散落/异形枪头
n17.jpg,不整齐,不整齐,True,105,0,不整齐
n18.jpg,不整齐,不整齐,True,107,0,不整齐
n19.jpg,不整齐,不整齐,True,69,0,不整齐
n20.jpg,不整齐,不整齐,True,83,0,不整齐
n21.jpg,不整齐,不整齐,True,121,1,检测到 1 个散落/异形枪头
n22.jpg,不整齐,整齐,False,144,0,整齐
n23.jpg,不整齐,不整齐,True,121,1,检测到 1 个散落/异形枪头
n24.jpg,不整齐,不整齐,True,142,0,不整齐
n25.jpg,不整齐,不整齐,True,88,0,不整齐
n26.jpg,不整齐,不整齐,True,152,2,检测到 2 个散落/异形枪头
n27.jpg,不整齐,不整齐,True,98,0,"有 19 个枪头偏离槽中心线(偏差>12px, 占比 19.4%)"
n28.jpg,不整齐,不整齐,True,157,0,"有 25 个枪头偏离槽中心线(偏差>12px, 占比 15.9%)"
n29.jpg,不整齐,不整齐,True,112,0,"有 23 个枪头偏离槽中心线(偏差>12px, 占比 20.5%)"
n30.jpg,不整齐,不整齐,True,104,0,不整齐
n31.jpg,不整齐,不整齐,True,126,0,不整齐
n32.jpg,不整齐,整齐,False,99,0,整齐
n33.jpg,不整齐,不整齐,True,114,1,检测到 1 个散落/异形枪头
n34.jpg,不整齐,整齐,False,96,0,整齐
y1.jpg,整齐,不整齐,False,83,1,检测到 1 个散落/异形枪头
y2.jpg,整齐,整齐,True,64,0,整齐
y3.jpg,整齐,整齐,True,82,0,整齐
y4.jpg,整齐,整齐,True,86,0,整齐
y5.jpg,整齐,整齐,True,88,0,整齐
y6.jpg,整齐,整齐,True,105,0,整齐
y7.jpg,整齐,不整齐,False,81,0,"有 17 个枪头偏离槽中心线(偏差>12px, 占比 21.0%)"
y8.jpg,整齐,整齐,True,96,0,整齐
y9.jpg,整齐,整齐,True,82,0,整齐
y10.jpg,整齐,整齐,True,104,0,整齐
y11.jpg,整齐,整齐,True,81,0,整齐
y12.jpg,整齐,整齐,True,96,0,整齐
y13.jpg,整齐,整齐,True,81,0,整齐
y14.jpg,整齐,整齐,True,91,0,整齐
y15.jpg,整齐,整齐,True,90,0,整齐
y16.jpg,整齐,整齐,True,88,0,整齐
y17.jpg,整齐,整齐,True,88,0,整齐
y18.jpg,整齐,整齐,True,82,0,整齐
y19.jpg,整齐,整齐,True,94,0,整齐
y20.jpg,整齐,整齐,True,98,0,整齐
y21.jpg,整齐,整齐,True,90,0,整齐
